program_name_and_version,EnergyPlus 22.2
program_version_release_date,09/27/22
program_name_short,E+
results_submission_date,11/03/2022
organization,National Renewable Energy Laboratory
organization_short,NREL
Annual Heating Loads 600,4.32222
Annual Heating Loads 610,4.37222
Annual Heating Loads 620,4.48056
Annual Heating Loads 630,4.78056
Annual Heating Loads 640,2.66111
Annual Heating Loads 650,0
Annual Heating Loads 660,3.70556
Annual Heating Loads 670,5.61389
Annual Heating Loads 680,2.17778
Annual Heating Loads 685,4.875
Annual Heating Loads 695,2.8
Annual Heating Loads 900,1.66111
Annual Heating Loads 910,1.95278
Annual Heating Loads 920,3.33056
Annual Heating Loads 930,3.98889
Annual Heating Loads 940,1.06667
Annual Heating Loads 950,0
Annual Heating Loads 960,2.70278
Annual Heating Loads 980,0.405556
Annual Heating Loads 985,2.36667
Annual Heating Loads 995,1
Annual Heating Loads 195,4.07222
Annual Heating Loads 200,5.10556
Annual Heating Loads 210,6.04722
Annual Heating Loads 215,5.40278
Annual Heating Loads 220,6.45278
Annual Heating Loads 230,9.92778
Annual Heating Loads 240,5.27778
Annual Heating Loads 250,4.89444
Annual Heating Loads 270,4.38611
Annual Heating Loads 280,4.56944
Annual Heating Loads 290,4.425
Annual Heating Loads 300,4.42222
Annual Heating Loads 310,4.68889
Annual Heating Loads 320,3.76944
Annual Heating Loads 395,4.64167
Annual Heating Loads 400,6.34722
Annual Heating Loads 410,8.07778
Annual Heating Loads 420,6.90556
Annual Heating Loads 430,5.61389
Annual Heating Loads 440,4.5
Annual Heating Loads 450,3.96389
Annual Heating Loads 460,4.19167
Annual Heating Loads 470,4.09444
Annual Heating Loads 800,5.10833
Annual Heating Loads 810,2.33889
Annual Cooling Loads 600,6.03333
Annual Cooling Loads 610,4.33889
Annual Cooling Loads 620,4.06389
Annual Cooling Loads 630,2.83889
Annual Cooling Loads 640,5.76944
Annual Cooling Loads 650,4.82222
Annual Cooling Loads 660,3.23611
Annual Cooling Loads 670,6.63056
Annual Cooling Loads 680,6.44722
Annual Cooling Loads 685,9.125
Annual Cooling Loads 695,9.175
Annual Cooling Loads 900,2.49167
Annual Cooling Loads 910,1.38611
Annual Cooling Loads 920,2.73333
Annual Cooling Loads 930,1.92222
Annual Cooling Loads 940,2.42778
Annual Cooling Loads 950,0.691667
Annual Cooling Loads 960,0.902778
Annual Cooling Loads 980,3.72778
Annual Cooling Loads 985,6.36389
Annual Cooling Loads 995,7.21389
Annual Cooling Loads 195,0.611111
Annual Cooling Loads 200,0.813889
Annual Cooling Loads 210,0.561111
Annual Cooling Loads 215,0.877778
Annual Cooling Loads 220,0.611111
Annual Cooling Loads 230,0.991667
Annual Cooling Loads 240,0.977778
Annual Cooling Loads 250,3.19444
Annual Cooling Loads 270,7.52222
Annual Cooling Loads 280,5.18611
Annual Cooling Loads 290,5.74444
Annual Cooling Loads 300,5.15278
Annual Cooling Loads 310,3.66944
Annual Cooling Loads 320,4.98889
Annual Cooling Loads 395,0.0111111
Annual Cooling Loads 400,0.0305556
Annual Cooling Loads 410,0.0583333
Annual Cooling Loads 420,0.152778
Annual Cooling Loads 430,0.858333
Annual Cooling Loads 440,4.09167
Annual Cooling Loads 450,6.50556
Annual Cooling Loads 460,6.48056
Annual Cooling Loads 470,6.02778
Annual Cooling Loads 800,0.375
Annual Cooling Loads 810,1.51111
